id,category,citation,design,population,result,limitation,relevance,doi,pmid,status,verified
simner2010,established component,"Simner; Cuskley; Kirby (2010), Perception 39(4):553-569","cross-sectional matching across four acoustic continua and four basic tastes at two concentrations","65 participants","Participants shared systematic preferences linking acoustic properties with tastes and concentrations","Preference matching is not an induced taste and does not test learned transfer","Supports spontaneous auditory-gustatory mapping",10.1068/p6591,20515002,"peer reviewed primary","PubMed abstract checked 2026-07-17"
crisinel2010,established component,"Crisinel; Spence (2010), Attention Perception & Psychophysics 72(7):1994-2002","explicit pitch and instrument matching to tastes and flavors","adult nonsynesthetes; exact N not stated in PubMed abstract","Sweet and sour were preferentially matched with high pitch; umami and bitter with low pitch","Explicit matching; familiarity and hedonic value influenced instrument choices","Supports correspondence but not auditory generation of taste",10.3758/APP.72.7.1994,20952795,"peer reviewed primary","PubMed abstract checked 2026-07-17"
carvalho2017,established component,"Reinoso Carvalho et al. (2017), Appetite 108:383-390","participants tasted identical chocolate under creamy and rough soundtracks","exact N not stated in accessible PubMed record","Music changed reported creaminess and sweetness/bitterness of chocolate","Chocolate was physically present; not evidence of taste from sound alone","Supports multisensory modification during consumption",10.1016/j.appet.2016.10.026,27784634,"peer reviewed primary","PubMed metadata checked 2026-07-17"
janata2009,plausible mechanism,"Janata (2009), Cerebral Cortex 19(11):2579-2594","fMRI study of music-evoked autobiographical memories","healthy participants; full-text N not used here","Familiar music-evoked autobiographical memory covaried with medial prefrontal activity","Familiar music and autobiographical cues differ from novel procedural signals","Supports a music-memory route without proving novel-cue retrieval",10.1093/cercor/bhp008,19240137,"peer reviewed primary","PubMed metadata checked 2026-07-17"
kershaw2018,established component,"Kershaw; Running (2018), Archives of Oral Biology 92:90-95","classical conditioning with a visual cue predicting sour candy","human participants; exact N not stated in accessible abstract","Saliva weight increased for the candy-paired image and across the first visit","Salivation is not taste; visual cue and candy do not establish auditory transfer","Supports conditioned anticipatory physiology",10.1016/j.archoralbio.2018.05.010,29778624,"peer reviewed primary","PubMed metadata checked 2026-07-17"
avery2023,plausible mechanism,"Avery; Carrington; Martin (2023), Progress in Neurobiology 223:102423","high-field fMRI with imagined tastes and food-picture inference","human participants; exact N not quoted without full methods","Quality-specific patterns for imagined and inferred tastes overlapped in dorsal mid-insula","Neural overlap does not establish subjective equivalence or auditory causation","Supports top-down taste representation",10.1016/j.pneurobio.2023.102423,36805499,"peer reviewed primary","PubMed metadata checked 2026-07-17"
small2004,established component,"Small et al. (2004), Journal of Neurophysiology","event-related fMRI comparing congruent and incongruent taste-odor mixtures with unimodal constituents","healthy adults; exact N not used from abstract","Congruent flavor produced superadditive responses in insula/frontal operculum/OFC and other regions","Flavor constituents were physically delivered; regional activation cannot be inferred by UMBRAL","Supports experience-dependent multisensory flavor integration",10.1152/jn.00050.2004,15102894,"peer reviewed primary","PubMed abstract checked 2026-07-17"
wacongne2011,plausible mechanism,"Wacongne et al. (2011), PNAS 108(51):20754-20759","simultaneous EEG/MEG hierarchical auditory novelty and omission paradigm","10 healthy adults","Unexpected mismatches and omitted expected tones supported at least two levels of auditory prediction","Neural omission responses require instrumentation and do not prove subjective reconstruction","Supports omission as a control and prediction probe",10.1073/pnas.1117807108,22147913,"peer reviewed primary","PubMed and PMC methods checked 2026-07-17"
loebach2008,established component,"Loebach; Pisoni; Svirsky (2008), Journal of the Acoustical Society of America","pre/post training with spectrally degraded speech or environmental sounds","five training groups of normal-hearing adults; exact group N not quoted from abstract","Training improved identification but generalization depended on task and materials","Degraded speech learning is not crossmodal emotional conditioning","Supports learning and the need to test transfer rather than assume it",10.1121/1.2823453,18247913,"peer reviewed primary","PubMed abstract checked 2026-07-17"
kucinkas2025,established component,"Kucinkas et al. (2025), npj Science of Learning 11(1):4","random assignment to traditional reversed or arbitrary image-to-sound mappings","60 sighted adults","Structured mappings were learned within 30 minutes and generalized to novel stimuli; reversed and traditional mappings performed similarly","Visual-to-auditory substitution is not evidence of sound-induced qualia","Supports flexible learned mapping and explicit transfer tests",10.1038/s41539-025-00385-4,41339357,"peer reviewed primary","PubMed abstract checked 2026-07-17"
lee2021,mixed evidence,"Lee (2021), Frontiers in Behavioral Neuroscience 15:672628","critical review of human second-order conditioning evidence","human conditioning literature","The review concludes that human second-order conditioning evidence is comparatively scant","Review rather than a new experiment; paradigms vary","Requires UMBRAL to treat second-order transfer as uncertain",10.3389/fnbeh.2021.672628,34305546,"peer reviewed review","PubMed abstract checked 2026-07-17"
schwarz2005,established measurement,"Schwarz; Taylor (2005), Clinical Neurophysiology 116(3):658-668","EEG comparison of binaural and monaural 40-Hz beat responses","human listeners; exact N not quoted from abstract","A low-carrier 40-Hz binaural-beat ASSR was measurable but smaller than the acoustic-beat response","ASSR is an EEG measure; browser behavior cannot establish entrainment","Defines a measurable effect and instrumentation boundary",10.1016/j.clinph.2004.09.014,15721080,"peer reviewed primary","PubMed abstract checked 2026-07-17"
wahbeh2007,mixed evidence,"Wahbeh et al. (2007), Journal of Alternative and Complementary Medicine 13(2):199-206","randomized blinded placebo-controlled crossover pilot of 7-Hz binaural beats","4 healthy adults","No support for scalp-recorded steady-state entrainment; some adverse-direction secondary differences were reported","Extremely small pilot and many outcomes","Argues against efficacy assumptions and for adverse-event monitoring",10.1089/acm.2006.6201,17388762,"peer reviewed pilot","PubMed abstract checked 2026-07-17"
orozco2020,mixed evidence,"Orozco Perez; Dumas; Lehmann (2020), eNeuro 7(2)","single-blind active-controlled comparison of binaural and monaural beats across auditory pathway measures","healthy human adults; exact N not quoted here","Both beats elicited auditory responses; binaural beats weakly entrained cortex and did not modulate mood","Neural and connectivity measures do not imply therapeutic or perceptual benefit","Supports conservative beat implementation with active controls",10.1523/ENEURO.0232-19.2020,32066611,"peer reviewed primary","PubMed abstract checked 2026-07-17"
orozco2023,mixed evidence,"Orozco Perez et al. (2023), PLOS ONE 18:e0286023","systematic review","14 binaural-beat neural-oscillation studies","Findings were inconsistent: supportive contradictory and mixed results","Heterogeneous stimulation and recording methods","Rejects generic brain-entrainment claims",10.1371/journal.pone.0286023,37205669,"peer reviewed systematic review","PubMed record checked 2026-07-17"
who2019,official safety,"World Health Organization and ITU (2019), Safe listening devices and systems","evidence-informed international standard","personal audio device users","Recommends exposure-aware listening; adult reference 80 dB for 40 hours/week and volume-limiting information","UMBRAL cannot measure SPL or cumulative dose from a browser","Supports low-gain design warnings breaks and device-level volume guidance",978-92-4-151527-6,,"official guidance","WHO publication checked 2026-07-17"
